Time,VDD_CPU_GPU_CV,VDD_SOC
3.5135999951307895e-05,1.506,1.386
0.9939184320001004,0.978,1.388
1.9977730559999145,0.978,1.388
2.995286368000052,0.937,1.388
3.99416931199994,0.896,1.388
4.995560767999905,0.896,1.388
5.996921408000162,0.937,1.388
6.997425344000021,0.898,1.388
7.99778220799999,0.898,1.388
8.999406911999813,0.898,1.388
10.001787552000224,0.896,1.388
11.000910560000193,0.896,1.388
12.00498057599998,0.896,1.388
13.009056511999916,1.223,1.388
14.006731167999988,1.263,1.388
15.014758847999929,1.991,1.872
16.011933088000205,2.673,2.353
17.012161791999915,3.154,2.673
18.01431929599994,3.276,2.754
19.016237503999946,3.271,2.79
20.01791702399987,3.271,2.79
21.019530336000116,3.19,2.754
22.019637343999875,3.074,2.673
23.02190796800005,2.952,2.552
24.020947135999904,2.835,2.434
25.01961587200003,2.952,2.511
26.022818112000095,3.195,2.673
27.024575840000125,3.271,2.79
28.025554463999924,3.271,2.831
29.027276064000034,3.23,2.79
30.028590528000223,3.19,2.754
31.03071257600004,3.074,2.633
32.03106144000003,2.952,2.552
33.02982527999984,2.795,2.434
34.02840844799994,3.033,2.592
35.03792774400017,2.633,2.231
36.030639359999896,1.059,1.469
37.03262691200007,0.937,1.388
38.03147888000012,0.896,1.388
39.032919583999956,0.898,1.388
40.03359075200024,0.898,1.388
41.03590969600009,0.896,1.388
42.03587968000011,0.896,1.388
43.03674956800023,0.898,1.388
44.03769209600023,0.898,1.388
45.03834883199988,0.898,1.388
