Time,VDD_CPU_GPU_CV,VDD_SOC
3.24160000673146e-05,1.587,1.424
0.9944360639992738,1.059,1.386
1.9942302720000953,0.937,1.386
2.994493823999619,0.896,1.386
3.994632064000143,0.896,1.386
4.9988849599994865,0.978,1.386
5.999358592000135,1.059,1.386
6.998380351999913,0.937,1.386
8.000405695999689,0.937,1.386
9.002620831999593,0.937,1.386
10.006929088000106,1.019,1.386
11.007791295999596,1.261,1.386
12.015180544000032,1.991,1.424
13.022265599999628,3.002,1.463
14.023649855999793,2.997,1.584
15.025516128000163,3.164,1.463
16.02247673599959,3.2,1.544
17.020514496000033,3.2,1.503
18.013113535999764,1.95,1.424
19.012475487999836,1.465,1.424
20.013949184000012,1.424,1.386
21.01480950399946,1.424,1.386
22.019095423999715,3.154,2.147
23.021608191999803,3.755,2.386
24.022559263999938,3.715,2.386
25.023259552000127,3.438,2.228
26.023322431999986,1.18,1.467
27.022220639999432,0.978,1.386
28.02326169599928,0.937,1.386
29.02482031999989,0.937,1.386
30.02566652799942,0.978,1.386
31.02526169599969,0.937,1.386
32.026179647999925,0.937,1.386
33.02802217599947,0.937,1.386
34.029178943999796,0.896,1.386
35.02988249600003,0.937,1.386
