Time,VDD_CPU_GPU_CV,VDD_SOC
2.463999953761231e-05,1.625,1.424
0.9965248639991842,1.058,1.386
1.9964891839999837,0.937,1.386
2.9977799680000317,0.896,1.386
3.996502975999647,0.896,1.386
4.997302815999319,0.896,1.386
5.998232447999726,0.896,1.386
6.999400480000077,0.896,1.386
8.000523775999682,0.896,1.386
8.999410271999295,0.896,1.386
10.005339519999325,1.017,1.386
11.005566335999902,1.343,1.386
12.010033311999905,1.747,1.706
13.009979391999877,2.71,2.511
14.009306015999755,2.786,2.548
15.012342367999736,2.71,2.511
16.014269439999225,2.786,2.552
17.01338307199967,2.786,2.588
18.016593631999967,2.71,2.471
19.019833407999613,2.75,2.511
20.019955551999374,2.786,2.588
21.01866348799922,2.746,2.511
22.02206348799973,2.75,2.511
23.0216151679997,2.746,2.552
24.023078399999577,2.786,2.588
25.021745727999587,2.786,2.588
26.02575046399943,2.71,2.511
27.025471999999354,2.79,2.552
28.025605983999412,2.786,2.592
29.02891372799968,2.71,2.471
30.02758742399965,2.75,2.511
31.02881244799937,2.786,2.588
32.02984844799994,2.71,2.511
33.032171135999306,2.75,2.511
34.03358851199937,2.786,2.588
35.033581535999474,2.71,2.471
36.03557075199933,2.746,2.511
37.03608447999977,2.786,2.588
38.035060127999714,2.746,2.511
39.03893180799969,2.75,2.511
40.04074006399969,2.786,2.588
41.03911919999973,2.786,2.588
42.04056614399997,2.71,2.471
43.042914463999296,2.786,2.552
44.04377228799967,2.786,2.588
45.041525759999786,2.39,2.15
46.04053913600001,1.058,1.467
47.04112073599936,0.936,1.386
48.04196796799988,0.937,1.386
49.042919455999254,0.896,1.386
50.042989216000024,0.896,1.386
51.04509567999958,0.896,1.386
52.04595289600002,0.937,1.386
53.04632460799985,0.896,1.386
54.04613772799985,0.896,1.386
55.04783619199952,0.896,1.386
