Time,VDD_CPU_GPU_CV,VDD_SOC
3.0015999982424546e-05,1.628,1.426
0.9962071359996116,1.059,1.388
1.9952629759991396,0.937,1.388
2.9965047999994567,0.896,1.388
3.998218975999407,0.896,1.388
4.999227263999273,0.896,1.388
6.00072156799979,0.896,1.388
7.000788191999163,0.896,1.388
8.002604863999295,0.896,1.388
9.00237625599948,0.896,1.388
10.009125599999606,1.1,1.388
11.017061599999579,2.397,1.424
12.0144287359999,2.641,1.506
13.021269343999847,2.397,1.424
14.023316447999605,2.682,1.465
15.011560895999537,1.831,1.426
16.03463827199994,3.043,1.424
17.029864063999412,3.164,1.463
18.026736543999505,3.205,1.463
19.03026380799929,3.083,1.503
20.027162111999132,3.124,1.503
21.01732169599927,2.316,1.465
22.020525279999674,1.465,1.386
23.023545344000013,1.79,1.467
24.02252886399947,1.831,1.467
25.024307967999448,1.831,1.467
26.02551123199919,1.79,1.467
27.025963071999286,1.831,1.467
28.027504351999596,1.831,1.467
29.02796799999942,1.79,1.467
30.03026748799948,1.831,1.467
31.030002943999534,1.79,1.467
32.029299903999345,1.831,1.467
33.03204675199959,1.79,1.467
34.03263638399949,1.831,1.467
35.03449414399984,1.831,1.467
36.03441305599972,1.831,1.467
37.03554828799952,1.831,1.467
38.03633439999976,1.79,1.467
39.037585343999126,1.831,1.467
40.0387004159993,1.831,1.467
41.039546943999994,1.831,1.467
42.04087836799954,1.831,1.467
43.04740665599911,1.991,1.465
44.04962319999959,1.994,1.467
45.044334943999274,1.994,1.467
46.045131103999665,1.831,1.467
47.04671961599979,1.994,1.467
48.04847235199941,1.831,1.467
49.04740540799958,1.913,1.467
50.05719148799926,1.913,1.467
51.05064783999933,1.913,1.467
52.05036492799991,1.831,1.426
53.05215372799921,1.79,1.467
54.05353644799925,1.831,1.426
55.05620729599923,1.831,1.467
56.05504313599977,1.79,1.426
57.05573542399998,1.79,1.467
58.0581019199999,1.913,1.467
59.057920895999814,1.831,1.467
60.05969459199969,1.831,1.426
61.060752767999475,1.913,1.467
62.06068156799938,1.831,1.467
63.06157305599936,1.79,1.426
64.06439391999993,1.872,1.467
65.06446425599916,1.872,1.467
66.0642833919992,1.831,1.467
67.06572758399943,1.872,1.467
68.06604726399928,1.872,1.467
69.06848172799982,2.113,1.506
70.0682772479995,1.831,1.467
71.07099519999974,1.831,1.467
72.0704154239993,1.953,1.467
73.0715429439997,1.831,1.426
74.07210268799918,1.79,1.426
75.07271862399921,1.79,1.426
76.07344041599936,1.79,1.426
77.07440758399935,1.79,1.467
78.0753167999992,1.79,1.467
79.07651903999977,1.79,1.467
80.07804585599933,1.79,1.426
81.0796956159993,1.872,1.467
82.07948444799968,1.79,1.467
83.08053686399944,1.79,1.467
84.08173577599973,1.79,1.467
85.0804927679992,1.831,1.467
86.08648271999937,1.831,1.467
87.08495180799946,1.79,1.467
88.084858016,1.79,1.467
89.08783430399944,1.831,1.467
90.08739583999977,1.831,1.467
91.08737155199924,1.79,1.467
92.08824038399962,1.263,1.386
93.0867143359992,0.937,1.388
94.09142332799911,1.263,1.429
95.08986431999983,1.223,1.388
96.09169638399999,0.978,1.388
97.09476464,1.304,1.426
98.09474745599982,1.141,1.388
99.09465526399981,1.141,1.388
100.0955395839992,0.937,1.388
101.09616604799976,0.896,1.388
102.09609455999998,0.896,1.388
