Time,VDD_CPU_GPU_CV,VDD_SOC
3.0143999993015314e-05,1.465,1.426
0.9954820479997579,1.019,1.386
1.9941880319997836,0.937,1.388
2.9963079039998775,0.896,1.388
3.997069055999873,0.896,1.388
4.997688575999746,0.896,1.388
5.998440063999624,0.896,1.388
6.999837247999949,0.896,1.388
8.000971487999777,0.896,1.388
9.000546847999885,0.896,1.388
10.007384512000044,1.019,1.386
11.00730918399995,1.261,1.386
12.00502950400005,1.139,1.386
13.007122399999844,0.936,1.386
14.00758556799974,0.976,1.386
15.008098399999653,0.895,1.386
16.01229251199993,1.18,1.386
17.010933088,1.18,1.386
18.013053119999768,1.95,1.424
19.012004832000002,1.017,1.386
20.012438303999716,0.895,1.386
21.013689471999896,0.895,1.386
22.01499436799986,0.895,1.386
23.015336191999722,0.895,1.386
24.016970367999875,0.895,1.386
25.032325824000054,2.637,1.463
26.01990479999995,2.353,1.503
27.020370751999963,1.017,1.386
28.023098207999737,1.506,1.426
29.023469983999803,1.221,1.386
30.035029631999805,2.479,1.465
31.026744448000045,2.515,1.503
32.03974649599968,2.475,1.465
33.02812723199986,2.316,1.465
34.02814556799967,1.343,1.386
35.02790863999962,0.936,1.386
36.03128319999996,1.18,1.386
37.030765119999614,0.976,1.386
38.035976255999685,1.587,1.426
39.03592783999966,1.869,1.465
40.03721305599993,1.91,1.465
41.03919468799995,1.91,1.465
42.039746079999986,1.91,1.424
43.04119929599983,1.91,1.424
44.04200783999977,1.95,1.424
45.0433178559997,1.91,1.424
46.04464112000005,1.91,1.424
47.04554294399986,1.91,1.465
48.0467569919997,1.91,1.424
49.04728089599985,1.91,1.465
50.04958476799993,1.95,1.424
51.04813020799975,1.91,1.465
52.04970335999997,1.91,1.424
53.05060000000003,1.91,1.424
54.0515837439998,1.91,1.424
55.05376739199983,1.91,1.424
56.0545997119998,1.91,1.424
57.05414191999989,1.91,1.424
58.054777183999704,1.95,1.424
59.05596723200006,1.91,1.424
60.057543903999886,1.91,1.465
61.06010207999998,1.869,1.465
62.06103756799985,1.91,1.465
63.06145596799979,1.869,1.424
64.0617456,1.869,1.465
65.06355689599968,1.869,1.424
66.06396137599995,1.91,1.465
67.0671596799998,1.91,1.465
68.06626095999991,1.91,1.465
69.066156288,1.91,1.424
70.06931903999975,1.869,1.465
71.07123491199991,1.95,1.465
72.07051711999975,1.95,1.465
73.07218860800003,1.91,1.424
74.07253174399966,1.91,1.424
75.07365014399966,1.869,1.424
76.07454800000005,1.91,1.424
77.07555667199995,1.95,1.465
78.07722822400001,1.91,1.424
79.07567756799972,1.91,1.424
80.07716246399968,1.91,1.424
81.07734489599989,1.869,1.465
82.07881551999981,1.91,1.424
83.08013215999972,1.91,1.465
84.08110963199988,1.91,1.465
85.08115337599975,1.869,1.465
86.08201887999985,1.91,1.465
87.08297519999996,1.91,1.465
88.08409286400001,1.91,1.424
89.08487023999987,1.869,1.465
90.08645846399986,1.869,1.424
91.08753414399962,1.91,1.424
92.08794412799989,1.91,1.424
93.08937891200003,1.869,1.465
94.09057855999981,1.91,1.424
95.09100851199992,1.91,1.465
96.09269071999961,1.91,1.465
97.09168915199962,1.869,1.424
98.09491283199986,1.91,1.465
99.0955349119995,1.91,1.465
100.09550537599989,1.91,1.465
101.09740207999948,1.91,1.465
102.0980149119996,1.91,1.424
103.09871401599958,1.91,1.465
104.0999108799997,1.91,1.465
105.10100444799991,1.91,1.465
106.10241606399995,1.91,1.465
107.10363916799997,1.91,1.424
108.10411548799948,1.869,1.465
109.10589964799965,1.91,1.465
110.10455603199989,1.91,1.424
111.10673977599981,1.91,1.424
112.10770169599982,1.869,1.465
113.10687897600019,1.91,1.424
114.10937584000021,1.91,1.465
115.10941580799954,1.991,1.465
116.11015366399988,1.91,1.465
117.11223619199973,1.91,1.465
118.11216947199955,2.032,1.465
119.11390905600001,1.95,1.465
120.11524041600023,1.91,1.465
121.11564307200024,1.95,1.465
122.11575251199974,1.91,1.465
123.11752198399972,1.91,1.465
124.11981449599989,1.95,1.465
125.12074800000028,1.91,1.465
126.12066908799989,1.91,1.465
127.12179023999943,1.91,1.465
128.12288710400026,1.91,1.465
129.12415359999977,1.91,1.465
130.12553407999985,1.91,1.465
131.12549811200006,1.91,1.465
132.12734233599986,1.869,1.465
133.12656288000017,1.587,1.426
134.12615363199984,0.978,1.388
135.12736656000016,0.937,1.388
136.12807791999967,0.937,1.388
137.12801609599956,0.937,1.388
138.1302735039999,0.937,1.388
139.1312569920001,0.937,1.388
140.1328134079995,0.978,1.388
141.1327573439994,0.937,1.388
142.13411132799956,0.937,1.388
143.13488207999944,0.896,1.388
