Time,VDD_CPU_GPU_CV,VDD_SOC
3.1136000416154275e-05,1.424,1.426
0.05599865600015619,1.587,1.426
1.055204096000125,1.059,1.388
2.0539940800003933,0.937,1.388
3.0565186560002076,0.937,1.388
4.057847552000112,1.059,1.388
5.056533408000178,0.896,1.388
6.058277888000248,0.896,1.388
7.058296640000208,0.896,1.388
8.05967158400017,0.896,1.388
9.060933760000353,0.896,1.388
10.064353728000242,1.019,1.388
11.065523616000064,1.304,1.386
12.083312480000131,2.519,1.424
13.078715232000377,3.043,1.465
14.078725440000198,3.124,1.544
15.080898208000235,3.164,1.463
16.07875865599999,3.164,1.503
17.090788608000366,3.205,1.503
18.072196480000002,1.709,1.426
19.074186272000134,1.424,1.386
20.076164351999978,1.424,1.386
21.07893782400015,1.343,1.386
22.082078144000207,2.831,2.714
23.078823904000274,2.511,2.353
24.081802143999994,3.028,2.912
25.083084031999988,2.669,2.511
26.082089440000345,2.988,2.871
27.083502624000175,2.831,2.673
28.08302441600017,2.948,2.831
29.086167680000017,2.948,2.835
30.083442752000337,2.71,2.511
31.0873215040001,2.988,2.912
32.08819312000014,2.552,2.393
33.090818304000095,3.028,2.912
34.0916867840001,2.75,2.592
35.089742496000326,2.988,2.871
36.093447200000355,2.912,2.754
37.093334784000035,2.988,2.714
38.09597696000037,2.988,2.871
39.09778080000024,2.511,2.353
40.097169664000376,3.028,2.912
41.09926089600003,2.75,2.592
42.09658627200042,2.988,2.912
43.10072835200026,2.912,2.754
44.100384960000156,2.907,2.754
45.10445056000026,2.988,2.871
46.10276000000022,2.511,2.353
47.10458793600037,3.028,2.912
48.108174496000174,2.669,2.511
49.1052684160004,3.028,2.912
50.10955481600013,2.871,2.714
51.10875926400013,2.988,2.831
52.109930400000394,2.907,2.754
53.107992000000195,1.666,1.79
54.10731241600024,0.978,1.429
55.10848076800039,0.937,1.388
56.1088152960001,0.896,1.388
57.110212864000005,0.896,1.388
58.110944288000155,0.896,1.388
59.11196848000009,0.896,1.388
60.11362972799998,0.896,1.388
61.113629760000094,0.896,1.388
62.115696352000214,0.937,1.388
63.11904179200019,1.141,1.429
