Time,VDD_CPU_GPU_CV,VDD_SOC
3.193599968653871e-05,1.628,1.426
0.9944744959993841,1.059,1.386
1.995556287999534,0.937,1.388
2.994794879999972,0.896,1.388
3.9952245759996003,0.896,1.388
4.995756960000108,0.896,1.388
5.997929631999796,0.978,1.388
6.9986601919999885,0.896,1.388
7.9998202879996825,0.896,1.388
8.99999932799983,0.896,1.388
10.008274111999526,1.1,1.386
11.01375062399984,2.275,1.424
12.019034144000216,2.596,1.503
13.008981983999547,1.709,1.426
14.013112831999933,2.678,1.463
15.013464607999595,2.678,1.503
16.022222271999453,2.637,1.463
17.02465705600025,2.84,1.463
18.026788959999976,3.002,1.584
19.027945343999818,3.083,1.463
20.027290752000226,3.124,1.544
21.02790899199954,3.124,1.503
22.01575135999974,1.828,1.424
23.02133161599977,1.383,1.426
24.02084310400005,2.353,1.706
25.021079008000015,2.475,1.788
26.02322483199987,2.475,1.788
27.023257727999408,2.434,1.788
28.02498729600029,2.434,1.747
29.024934559999565,2.434,1.747
30.024749567999606,2.475,1.788
31.026372287999948,2.475,1.747
32.028278304000196,2.434,1.747
33.02835551999942,2.434,1.747
34.03046067200012,2.475,1.788
35.030296383999485,2.434,1.788
36.032343072,2.475,1.788
37.0339956480002,2.475,1.788
38.03365308799948,2.475,1.747
39.035270815999866,2.475,1.747
40.035606784000265,2.475,1.747
41.037902559999566,2.434,1.747
42.03899635200014,2.475,1.747
43.03886921599951,2.434,1.747
44.040951680000035,2.475,1.747
45.04137622399958,2.475,1.747
46.041309375999845,2.434,1.747
47.04349052799989,2.434,1.788
48.04405078399941,2.475,1.747
49.04534943999988,2.475,1.788
50.04495491199941,2.475,1.788
51.046199391999835,2.475,1.747
52.04778361599983,2.475,1.747
53.05025225600002,2.475,1.788
54.051064512000266,2.434,1.747
55.05051382399961,2.475,1.788
56.05240140800015,2.475,1.788
57.05306096000004,2.434,1.706
58.05454396799996,2.393,1.747
59.0535066880002,1.099,1.426
60.05303635200016,0.937,1.386
61.05259721599941,0.896,1.386
62.053490624000005,0.896,1.386
63.055793951999476,0.937,1.386
64.05582512000001,0.896,1.388
65.05746947199987,0.937,1.388
66.05869894399984,0.896,1.388
67.05899939200026,0.896,1.388
68.06042425600026,0.896,1.388
69.06186163199982,1.019,1.386
